date,time,code,open,high,low,close,volume,amount,adjustflag
2022-07-06,20220706103000000,sh.600000,7.9100,7.9100,7.9000,7.9100,492500,3894561.0000,3
2022-07-06,20220706103500000,sh.600000,7.9100,7.9200,7.9000,7.9000,576200,4556777.0000,3
2022-07-06,20220706104000000,sh.600000,7.9100,7.9100,7.9000,7.9100,225600,1783912.0000,3
2022-07-06,20220706104500000,sh.600000,7.9000,7.9100,7.9000,7.9100,338200,2673480.0000,3
2022-07-06,20220706105000000,sh.600000,7.9000,7.9100,7.9000,7.9000,216900,1715161.0000,3
2022-07-06,20220706105500000,sh.600000,7.9100,7.9100,7.9000,7.9100,554301,4379885.0000,3
2022-07-06,20220706110000000,sh.600000,7.9100,7.9100,7.9000,7.9100,1001400,7911649.0000,3
2022-07-06,20220706110500000,sh.600000,7.9100,7.9100,7.9000,7.9000,377300,2981680.0000,3
2022-07-06,20220706111000000,sh.600000,7.9100,7.9200,7.9000,7.9100,721837,5709344.0000,3
2022-07-06,20220706111500000,sh.600000,7.9100,7.9200,7.9000,7.9100,213536,1688695.0000,3
2022-07-06,20220706112000000,sh.600000,7.9100,7.9100,7.9000,7.9000,183400,1450032.0000,3
2022-07-06,20220706112500000,sh.600000,7.9000,7.9100,7.9000,7.9100,403500,3188746.0000,3
2022-07-06,20220706113000000,sh.600000,7.9100,7.9100,7.9000,7.9000,285200,2253903.0000,3
2022-07-06,20220706130500000,sh.600000,7.9000,7.9100,7.9000,7.9000,532474,4207369.0000,3
2022-07-06,20220706131000000,sh.600000,7.9100,7.9100,7.8900,7.9100,732526,5786821.0000,3
2022-07-06,20220706131500000,sh.600000,7.9100,7.9100,7.9000,7.9000,210059,1659717.0000,3
2022-07-06,20220706132000000,sh.600000,7.9000,7.9100,7.9000,7.9000,117600,929288.0000,3
2022-07-06,20220706132500000,sh.600000,7.9100,7.9100,7.9000,7.9000,341955,2701575.0000,3
2022-07-06,20220706133000000,sh.600000,7.9000,7.9100,7.9000,7.9000,111400,880360.0000,3
2022-07-06,20220706133500000,sh.600000,7.9100,7.9100,7.9000,7.9100,189300,1496409.0000,3
2022-07-06,20220706134000000,sh.600000,7.9100,7.9100,7.9000,7.9100,262340,2073169.0000,3
2022-07-06,20220706134500000,sh.600000,7.9100,7.9100,7.9000,7.9100,193600,1530484.0000,3
2022-07-06,20220706135000000,sh.600000,7.9000,7.9100,7.9000,7.9000,162300,1282808.0000,3
2022-07-06,20220706135500000,sh.600000,7.9100,7.9100,7.8900,7.8900,786646,6214502.0000,3
2022-07-06,20220706140000000,sh.600000,7.8900,7.9000,7.8900,7.8900,279200,2203706.0000,3
2022-07-06,20220706140500000,sh.600000,7.8900,7.9000,7.8900,7.9000,499900,3944889.0000,3
2022-07-06,20220706141000000,sh.600000,7.9000,7.9000,7.8800,7.8800,1203100,9492522.0000,3
2022-07-06,20220706141500000,sh.600000,7.8800,7.8900,7.8800,7.8900,483900,3813882.0000,3
2022-07-06,20220706142000000,sh.600000,7.8800,7.8900,7.8700,7.8800,1772000,13963063.0000,3
2022-07-06,20220706142500000,sh.600000,7.8800,7.8900,7.8700,7.8800,570900,4498701.0000,3
2022-07-06,20220706143000000,sh.600000,7.8800,7.8900,7.8700,7.8900,830600,6546063.0000,3
2022-07-06,20220706143500000,sh.600000,7.8900,7.9000,7.8800,7.8900,765483,6038658.0000,3
2022-07-06,20220706144000000,sh.600000,7.8900,7.8900,7.8800,7.8900,200900,1584689.0000,3
2022-07-06,20220706144500000,sh.600000,7.8800,7.9000,7.8800,7.9000,521600,4116647.0000,3
2022-07-06,20220706145000000,sh.600000,7.8900,7.9000,7.8900,7.9000,610200,4815999.0000,3
2022-07-06,20220706145500000,sh.600000,7.8900,7.9000,7.8800,7.8900,790108,6237389.0000,3
2022-07-06,20220706150000000,sh.600000,7.9000,7.9000,7.8900,7.9000,794451,6275241.0000,3
2022-07-07,20220707093500000,sh.600000,7.8800,7.9200,7.8800,7.8900,1027406,8106305.0000,3
2022-07-07,20220707094000000,sh.600000,7.9000,7.9100,7.8900,7.9000,875300,6912292.0000,3
2022-07-07,20220707094500000,sh.600000,7.9100,7.9100,7.8900,7.9000,475700,3756062.0000,3
2022-07-07,20220707095000000,sh.600000,7.9000,7.9000,7.8800,7.9000,447000,3527320.0000,3
2022-07-07,20220707095500000,sh.600000,7.8900,7.9100,7.8900,7.9000,489042,3863412.0000,3
2022-07-07,20220707100000000,sh.600000,7.9000,7.9100,7.8900,7.9000,348200,2750783.0000,3
2022-07-07,20220707100500000,sh.600000,7.8900,7.9200,7.8900,7.9100,410600,3248174.0000,3
2022-07-07,20220707101000000,sh.600000,7.9100,7.9200,7.9000,7.9100,291200,2303093.0000,3
2022-07-07,20220707101500000,sh.600000,7.9000,7.9200,7.8900,7.9100,396500,3133074.0000,3
2022-07-07,20220707102000000,sh.600000,7.9100,7.9100,7.9000,7.9000,89200,704777.0000,3
2022-07-07,20220707102500000,sh.600000,7.9000,7.9200,7.9000,7.9100,544900,4310036.0000,3
